MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice,price_per_sqft,room_ratio,lot_to_sqft_ratio,avg_room_size,total_living_area
4,2,0.0,0.13045382272284983,18,5.0,6.0,-0.7252993995894826,0.8847295114859971,3,4,0.0,3,1,3,5,0.0,1228.0,0.6472379549512477,2,1228.0,0.0,-0.4726786870853851,0.0,-1.1907886371539629,1.0,0.33228487922696837,2,6.0,0.0,3,0,1966.0,3,1.0,271.0,0.0,65.0,2008.0,11.914047823644255,0.00970199334172985,3.0,0.0073721372648208276,307.0,2456.0
4,2,9.219544457292887,0.6816346687435573,4,8.0,5.0,0.9651551237157728,0.9362395093753221,7,10,0.0,2,2,0,5,0.0,1234.0,0.6671586158321001,0,1234.0,0.0,-0.4567941288985022,0.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,0.0,3,0,2007.0,2,2.0,484.0,0.0,30.0,2008.0,12.100156419938624,0.009805637293305206,1.5,0.00754464765406254,246.8,2468.0
0,2,7.745966692414834,-0.20306151681077877,15,9.0,5.0,0.8826939274569799,0.8332195135966722,4,6,246.0,0,2,0,2,1153.0,408.0,1.7528346338385585,0,1561.0,0.0,0.4089142922866164,1.0,0.8061237684104074,0.0,-1.2175125652925647,0,6.0,1.0,2,0,2005.0,0,2.0,556.0,203.0,47.0,2007.0,12.533576212168626,0.008029196804720452,1.0,0.0056998134947283475,390.25,3122.0
8,2,10.392304845413264,1.0980733887577812,15,8.0,5.0,0.8414633293275834,0.8332195135966722,7,10,132.0,2,2,0,5,0.0,1117.0,0.2787057286554773,0,1132.0,1320.0,2.7677711830387284,0.0,2.803036173974778,1.0,1.8820823237465014,2,9.0,1.0,2,2,2004.0,0,3.0,691.0,113.0,32.0,2006.0,12.641096555879882,0.005155422738939593,1.3333333333333333,0.003876163282268692,350.2857142857143,3569.0
4,2,8.246211251235321,-0.03158274239484094,11,5.0,7.0,-1.2612971752716369,0.9362395093753221,7,10,0.0,3,1,3,2,731.0,326.0,0.07949911984695283,3,1057.0,0.0,-0.925388595411548,1.0,-1.1907886371539629,0.0,0.33228487922696837,2,5.0,0.0,3,3,1953.0,3,1.0,246.0,0.0,52.0,2010.0,11.59910316121128,0.010973607531893359,3.0,0.008493281909348971,264.25,2114.0
4,2,9.16515138991168,0.1588680809358178,11,6.0,5.0,-0.7665299977188792,-1.2271804019763242,8,11,101.0,3,1,3,4,643.0,445.0,0.18242253439802383,0,1324.0,0.0,-0.21852575609525854,0.0,0.8061237684104074,0.0,0.33228487922696837,3,6.0,1.0,5,0,1965.0,2,2.0,440.0,0.0,138.0,2006.0,11.982929094215963,0.0090505506753897,1.5,0.006847612558913841,264.8,2412.0
0,2,7.810249675906654,-0.1042405185480115,15,9.0,5.0,0.8826939274569799,0.8332195135966722,4,6,412.0,0,2,0,2,456.0,1296.0,2.3869756718790285,0,1752.0,0.0,0.914572727902389,1.0,0.8061237684104074,0.0,-1.2175125652925647,0,6.0,1.0,2,0,2005.0,2,2.0,576.0,196.0,82.0,2010.0,12.675763725937609,0.007235024957726945,1.0,0.005104740942943629,438.0,3504.0
4,0,9.16515138991168,0.6907343647090153,20,8.0,5.0,0.9239245255863764,0.8847295114859971,7,10,0.0,2,2,2,2,24.0,1632.0,2.0682450977853892,0,1656.0,0.0,0.6604197969122625,0.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,0.0,3,0,2006.0,2,3.0,826.0,0.0,146.0,2007.0,12.428015476267865,0.007504840263446778,1.5,0.005624601426325282,331.2,3312.0
4,2,8.12403840463596,-0.08085392708674422,18,5.0,7.0,-0.7252993995894826,-1.1756704040869994,3,4,0.0,3,1,3,1,763.0,192.0,-0.25915211512753883,0,955.0,0.0,-1.1954260845885574,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,0.0,3,0,1966.0,3,1.0,386.0,0.0,0.0,2007.0,11.751942365440728,0.01230569881197982,3.0,0.009376351132081248,238.75,1910.0
10,2,7.745966692414834,-0.2561868467102725,11,5.0,5.0,-1.178835979012844,-1.7422803808695735,4,6,0.0,3,1,3,0,384.0,0.0,-2.1549350089553303,3,1360.0,0.0,-0.12321840697396108,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,1.0,5,3,1962.0,3,2.0,572.0,0.0,50.0,2007.0,11.77528972943772,0.008658301271645382,3.0,0.0065239907102344384,340.0,1744.0
8,2,9.433981132056603,0.7942607938336766,4,7.0,5.0,0.8414633293275834,0.7817095157073473,7,10,0.0,2,2,2,5,0.0,860.0,-0.5745625790743693,0,860.0,860.0,0.8298550842390136,0.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,0.0,3,0,2004.0,2,2.0,565.0,0.0,70.0,2006.0,12.188417710291453,0.007086289366448519,1.5,0.0054433908036735125,344.0,2580.0
4,2,7.745966692414834,-0.2364451870156705,4,5.0,7.0,-0.4779158108131038,-0.8666104167510499,3,4,0.0,3,1,3,0,632.0,148.0,-0.8401713908190686,0,780.0,0.0,-1.6587256983726424,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,4.0,0.0,3,3,1973.0,3,1.0,352.0,196.0,0.0,2008.0,11.73526869611367,0.015045216277068807,2.0,0.011386969621800188,260.0,1560.0
4,2,7.937253933193772,1.0420688923447257,19,6.0,5.0,0.8414633293275834,0.7817095157073473,7,10,0.0,3,2,2,0,941.0,217.0,0.41483024467463575,0,1158.0,0.0,-0.6579985325990191,1.0,-1.1907886371539629,1.0,0.33228487922696837,2,5.0,0.0,3,3,2006.0,3,2.0,576.0,0.0,50.0,2006.0,11.970350312009105,0.010337090079455186,3.0,0.008184998114939364,289.5,2316.0
0,2,6.6332495807108,-0.4749201292529842,15,8.0,5.0,0.9239245255863764,0.8847295114859971,7,10,178.0,2,2,2,2,24.0,1346.0,1.118693595798089,0,1370.0,0.0,-0.09674414332915622,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,1.0,2,0,2006.0,2,2.0,484.0,120.0,49.0,2007.0,12.218495165528731,0.008918609609874987,1.0,0.00640189367145339,342.5,2740.0
8,2,8.717797887081348,0.3782624394781493,15,8.0,5.0,0.8414633293275834,0.8332195135966722,7,10,344.0,2,2,0,5,0.0,1143.0,0.36502859247250463,0,1143.0,1330.0,2.8233671366928186,0.0,0.8061237684104074,1.0,1.8820823237465014,2,9.0,1.0,2,2,2004.0,2,3.0,852.0,192.0,151.0,2007.0,12.666657052859417,0.005121980207383509,2.0,0.003707472882219147,412.1666666666667,3616.0
4,2,8.48528137423857,0.6058047261126114,4,7.0,5.0,0.8002327311981869,0.7301995178180224,7,10,167.0,2,2,2,2,1013.0,440.0,1.3942627379832147,0,1479.0,0.0,0.19182533039921662,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,0.0,3,0,2003.0,2,2.0,558.0,144.0,29.0,2007.0,12.328290278254423,0.008335557997467494,1.5,0.006270941603046282,295.8,2932.0
5,3,6.855654600401044,-1.193172995133592,16,4.0,6.0,-1.5911419603068087,-1.999830370316198,4,6,0.0,3,1,3,5,0.0,747.0,-0.9497350256637571,3,747.0,0.0,-1.7460907684004983,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,4.0,0.0,3,0,1945.0,3,1.0,220.0,0.0,0.0,2010.0,11.289781913656018,0.015113496537692126,2.0,0.011292569213354387,249.0,1494.0
4,2,8.306623862918075,-0.12082069266558151,10,4.0,6.0,-0.06560982951913906,0.8847295114859971,3,7,0.0,3,1,3,0,565.0,280.0,-0.6243642312765004,3,845.0,0.0,-1.4866429846814109,1.0,-1.1907886371539629,0.0,-1.2175125652925647,3,4.0,0.0,3,3,1987.0,3,2.0,360.0,0.0,0.0,2007.0,11.771436160121729,0.01393069368061743,2.0,0.01057487803392874,281.6666666666667,1690.0
2,3,4.58257569495584,-3.4661766241452647,9,4.0,5.0,-0.43668521268370736,-0.815100418861725,2,3,0.0,3,1,2,2,462.0,0.0,-1.8959664175042485,3,526.0,462.0,-1.1080610145607015,1.0,-1.1907886371539629,0.0,-1.2175125652925647,3,5.0,0.0,3,2,1973.0,3,1.0,297.0,120.0,101.0,2009.0,11.418614785498987,0.011557302414472658,2.0,0.007464833783410682,329.3333333333333,1450.0
4,2,0.0,0.11307095246342933,11,4.0,7.0,-1.1376053808834474,-1.6907703829802485,7,10,0.0,3,1,3,0,228.0,724.0,-0.26911244556796504,0,952.0,0.0,-1.203368363681999,0.0,-1.1907886371539629,0.0,-1.2175125652925647,3,4.0,0.0,3,3,1956.0,3,1.0,283.0,0.0,0.0,2008.0,11.818570237796182,0.012414464535500191,2.0,0.009500920096899844,317.3333333333333,1904.0
4,2,8.94427190999916,0.21603812557075555,11,5.0,5.0,-0.9726829883658615,-1.4847303914229488,4,6,66.0,3,1,3,5,0.0,1065.0,0.10606000102142277,2,1065.0,0.0,-0.9042091844957041,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,0.0,3,3,1974.0,3,2.0,461.0,74.0,0.0,2007.0,11.747997587149712,0.011030983649905833,3.0,0.008537941103365341,266.25,2130.0
8,2,11.0,1.483245923389728,14,8.0,5.0,0.3054655536454292,0.16358954103544834,3,4,284.0,2,1,2,5,0.0,1288.0,0.8464445637597722,0,1301.0,1116.0,2.6751112602819114,0.0,0.8061237684104074,1.0,1.8820823237465014,2,9.0,1.0,5,0,1991.0,3,2.0,462.0,127.0,82.0,2006.0,12.468436909997665,0.005158641667355261,2.0,0.004006630003749065,402.8333333333333,3705.0
8,2,11.045361017187261,0.8426783213864808,7,6.0,5.0,0.8826939274569799,0.8332195135966722,7,10,0.0,2,2,2,5,0.0,684.0,-1.158901964912708,0,684.0,876.0,0.4062668659221359,0.0,0.8061237684104074,1.0,0.33228487922696837,2,6.0,1.0,2,2,2005.0,0,2.0,400.0,100.0,38.0,2009.0,12.066810578196666,0.007735134986023504,1.5,0.006016165142231347,312.0,2244.0
4,2,7.745966692414834,0.008097598113791508,4,4.0,5.0,0.42915734803361866,0.3181195347034231,7,10,0.0,3,2,2,2,588.0,402.0,-0.14294825998923286,0,990.0,0.0,-1.1027661618317406,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,5.0,0.0,3,4,1978.5061638868744,1,0.0,0.0,0.0,0.0,2007.0,11.724805824005728,0.011843238206066392,3.0,0.009086776526529287,247.5,1980.0
4,2,8.831760866327848,0.5236461121690751,4,7.0,5.0,0.635310338680601,0.5241595262607227,7,10,183.0,2,2,2,0,1162.0,426.0,1.8424776078023946,0,1588.0,0.0,0.4803948041275895,0.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,1999.0,2,2.0,472.0,158.0,29.0,2006.0,12.273731294003989,0.007729049933251882,1.5,0.0058163714775160405,317.6,3176.0
4,2,8.54400374531753,0.6566548729711846,6,4.0,5.0,-0.7665299977188792,-1.2271804019763242,3,4,48.0,3,1,3,4,520.0,440.0,-0.2425515643934951,3,960.0,0.0,-1.182188952766155,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,0.0,3,0,1965.0,0,1.0,432.0,120.0,0.0,2007.0,11.458997122944673,0.011936455336400701,3.0,0.009685877937705967,240.0,1920.0
4,2,0.0,0.5933058683778616,13,6.0,7.0,-0.2717628201661214,0.6271795220393726,5,7,28.0,3,2,3,0,1200.0,410.0,1.915520031032187,2,1610.0,0.0,0.5386381841461602,1.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,2.0,5,0,1977.0,2,2.0,480.0,168.0,68.0,2010.0,12.230765258120545,0.007596748607528289,1.5,0.005757075937220992,322.0,3220.0
8,2,8.774964387392123,0.2904336319180722,19,6.0,5.0,0.05808196486905037,-0.19698044418982602,3,4,336.0,2,1,2,5,0.0,741.0,-0.9696556865446095,3,977.0,755.0,0.8616242006127793,0.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,1.0,5,0,1985.0,0,2.0,476.0,192.0,46.0,2010.0,12.089538829274222,0.006980103250158327,1.5,0.0052699830972154655,346.4,2473.0
4,2,9.695359714832659,0.552276891742798,4,7.0,5.0,1.0476163199745658,1.039259505153972,7,10,0.0,3,2,2,5,0.0,1226.0,0.6405977346576301,0,1226.0,0.0,-0.47797353981434604,0.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,2009.0,2,3.0,740.0,0.0,36.0,2010.0,12.200557464842063,0.009951515061045729,1.5,0.007544660174823016,245.2,2452.0
7,2,8.660254037844387,0.3634593386895217,6,6.0,4.0,-1.2200665771422403,-0.8666104167510499,8,11,0.0,3,1,3,4,444.0,550.0,-0.1296678194019979,2,1216.0,639.0,1.187257643443879,0.0,0.8061237684104074,0.0,1.8820823237465014,3,7.0,0.0,3,0,1954.0,3,1.0,325.0,182.0,0.0,2006.0,11.82700601127654,0.006375744480472528,2.0,0.004938908463609111,309.1666666666667,2849.0
10,2,0.0,-0.07863988131984613,7,7.0,5.0,0.6765409368099975,0.5756695241500477,7,10,0.0,3,2,2,2,250.0,134.0,-2.1549350089553303,0,774.0,656.0,0.06210143853967287,0.0,0.8061237684104074,1.0,0.33228487922696837,3,7.0,1.0,5,2,2000.0,0,2.0,400.0,180.0,0.0,2010.0,12.100712129872347,0.008462036454456187,1.5,0.006262551134508666,286.0,1814.0
4,2,8.602325267042627,0.12844562620761862,6,5.0,5.0,0.9239245255863764,0.9362395093753221,7,10,0.0,3,2,2,5,0.0,1125.0,0.3052666098299473,2,1125.0,0.0,-0.7453636026268751,0.0,-1.1907886371539629,1.0,-1.2175125652925647,3,5.0,0.0,3,0,2007.0,3,2.0,430.0,80.0,64.0,2007.0,11.951180395901384,0.010623271463023451,2.0,0.008046264704872524,375.0,2250.0
8,2,8.06225774829855,0.10952672696016669,4,6.0,5.0,0.8826939274569799,0.8847295114859971,7,10,0.0,2,2,2,5,0.0,728.0,-1.0128171184531232,0,728.0,728.0,0.13093452401616548,0.0,0.8061237684104074,1.0,0.33228487922696837,2,8.0,1.0,2,0,2005.0,0,2.0,390.0,0.0,24.0,2006.0,12.007560729337492,0.008246951050369156,1.5,0.006211004566569024,291.2,2184.0
0,2,7.416198487095663,-0.03971636650600376,19,6.0,5.0,0.38792674990422216,0.21509953892477326,5,7,0.0,2,2,2,2,300.0,899.0,0.5509547606937941,0,1199.0,0.0,-0.5494540516553191,0.0,0.8061237684104074,0.0,-1.2175125652925647,2,5.0,0.0,3,0,1993.0,2,2.0,530.0,0.0,63.0,2008.0,11.94405831982697,0.009961683335969116,1.0,0.007484240923388245,299.75,2398.0
4,2,6.928203230275509,1.6107349753724802,13,6.0,5.0,-0.1893016239073285,0.47264952837139784,3,4,0.0,3,1,2,5,0.0,1362.0,1.092132714623619,3,1586.0,0.0,0.47509995139862854,0.0,0.8061237684104074,0.0,0.33228487922696837,3,7.0,1.0,5,0,1979.0,3,2.0,435.0,192.0,0.0,2009.0,12.106252310247962,0.007633198177962145,1.5,0.006143439370255509,317.2,2948.0
6,3,7.416198487095663,-1.2980460434296746,16,5.0,7.0,-2.209600932247756,-1.999830370316198,9,11,0.0,3,0,3,3,116.0,556.0,-1.1987432866744128,0,840.0,0.0,-1.4998801165038131,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,5.0,1.0,5,4,1978.5061638868744,1,0.0,0.0,0.0,0.0,2007.0,11.37366339763672,0.013540075473377048,3.0,0.009984081930232286,210.0,1512.0
8,2,8.306623862918075,-0.12336118234458085,11,6.0,5.0,-0.7252993995894826,-1.1756704040869994,7,10,266.0,3,1,3,1,512.0,148.0,-1.2385846084361176,3,660.0,688.0,-0.1549875233477269,0.0,-1.1907886371539629,1.0,0.33228487922696837,3,6.0,1.0,1,0,1966.0,2,2.0,453.0,188.0,108.0,2006.0,11.951180395901384,0.008865860827820017,3.0,0.006628031802959701,337.0,2008.0
8,2,9.38083151964686,1.2195058191977832,11,7.0,6.0,-0.7252993995894826,-1.1756704040869994,4,6,309.0,3,1,3,4,445.0,479.0,-0.3620755296786098,0,1216.0,941.0,1.9867804055169853,0.0,0.8061237684104074,1.0,1.8820823237465014,2,8.0,2.0,2,0,1966.0,0,2.0,487.0,105.0,66.0,2006.0,12.328290278254423,0.0057154799621021895,2.0,0.004432543923778095,359.5,3081.0
8,2,0.0,0.8982848060339029,7,6.0,5.0,0.6765409368099975,0.5756695241500477,7,10,40.0,2,2,2,2,695.0,297.0,-0.13630803969561536,0,1022.0,1032.0,1.7140954899754954,1.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,1.0,5,2,2000.0,2,2.0,390.0,24.0,48.0,2009.0,12.404923504275338,0.0060393980059763085,1.5,0.0045818678244431855,410.8,3046.0
4,2,8.660254037844387,-0.1811878188767246,11,5.0,6.0,-1.013913586495258,0.6786895199286975,4,6,0.0,3,1,3,4,405.0,658.0,0.09941978072780529,2,1327.0,0.0,-0.21058347700181707,1.0,-1.1907886371539629,0.0,0.33228487922696837,2,7.0,0.0,3,3,1974.0,3,2.0,624.0,0.0,0.0,2007.0,11.923378114589433,0.008985213349351494,3.0,0.006712594077859178,331.75,2390.0
4,2,0.0,-0.3423346565464747,22,8.0,5.0,0.7177715349393939,0.6786895199286975,7,10,136.0,2,2,0,2,1005.0,262.0,0.7767222506767886,0,1296.0,0.0,-0.2926536943007121,1.0,0.8061237684104074,0.0,-1.2175125652925647,2,6.0,0.0,3,0,2001.0,0,2.0,471.0,192.0,25.0,2009.0,12.301382825334498,0.009491807735597607,1.0,0.006815155703384123,324.0,2563.0
4,2,8.94427190999916,0.551864671835126,13,7.0,6.0,-0.5603770070718967,-0.9696304125296997,5,7,288.0,3,2,3,5,0.0,1304.0,0.899566326108712,2,1682.0,0.0,0.7292528823887551,0.0,0.8061237684104074,0.0,0.33228487922696837,3,7.0,1.0,2,0,1970.0,3,2.0,530.0,98.0,0.0,2008.0,12.066810578196666,0.007174084767061038,1.5,0.005499144521480062,336.4,2986.0
4,2,0.0,0.5425687061199597,11,5.0,5.0,-0.6840688014600862,-1.1241604061976744,4,6,196.0,3,1,3,1,695.0,519.0,0.6007564128959253,3,1214.0,0.0,-0.5097426561881119,0.0,0.8061237684104074,0.0,0.33228487922696837,3,5.0,1.0,1,0,1967.0,2,1.0,318.0,0.0,111.0,2007.0,11.870599909242044,0.009778088887349295,1.5,0.00761550640348409,242.8,2428.0
8,2,8.54400374531753,0.2575821848378418,4,8.0,5.0,0.635310338680601,0.5756695241500477,7,10,320.0,2,2,2,2,668.0,336.0,-0.09646671793391047,0,1004.0,848.0,1.1793153643504375,0.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,2.0,5,0,1999.0,0,3.0,660.0,224.0,106.0,2008.0,12.345834587905333,0.006666217380078473,1.5,0.004920241053726132,370.4,2856.0
8,2,8.06225774829855,1.397034941036847,4,6.0,5.0,0.552849142421808,0.4211395304820729,7,10,0.0,3,2,2,2,821.0,107.0,-0.34879508909137485,0,928.0,836.0,0.9463418442761549,1.0,0.8061237684104074,1.0,0.33228487922696837,2,7.0,0.0,3,0,1997.0,2,2.0,470.0,276.0,99.0,2009.0,12.352335152508426,0.0070024575694492205,1.5,0.005467012288261873,352.8,2692.0
4,2,8.366600265340756,0.57237917884564,11,4.0,5.0,-0.5191464089425003,-0.9181204146403747,3,4,0.0,3,1,3,0,432.0,432.0,-0.5612821384871343,3,864.0,0.0,-1.4363418837562816,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,5.0,1.0,4,4,1978.5061638868744,1,0.0,0.0,0.0,0.0,2010.0,11.652687407345388,0.013486906721464569,3.0,0.010716586268687054,216.0,1728.0
4,2,8.831760866327848,0.7942607938336766,4,7.0,5.0,0.8826939274569799,0.8332195135966722,7,10,0.0,2,2,2,2,1300.0,434.0,2.327213689236471,0,1734.0,0.0,0.8669190533417402,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,0.0,3,0,2005.0,0,2.0,660.0,160.0,24.0,2006.0,12.468436909997665,0.007190563385235101,1.5,0.005399441858315133,346.8,3468.0
7,2,8.426149773176359,0.12442358070652768,11,5.0,4.0,-1.3025277734010334,-1.8968103745375482,1,11,0.0,3,1,3,4,507.0,403.0,-0.4085570717339322,1,910.0,475.0,-0.05703274786194895,0.0,0.8061237684104074,0.0,1.8820823237465014,3,6.0,0.0,3,3,2000.0,3,2.0,720.0,0.0,0.0,2010.0,12.01974306733868,0.00867851485006403,2.0,0.00653441994211073,230.83333333333334,2295.0
4,2,8.831760866327848,0.5384241912993516,4,7.0,5.0,0.635310338680601,0.5241595262607227,7,10,183.0,2,2,2,2,679.0,811.0,1.517106813415138,0,1501.0,0.0,0.2500687104177873,1.0,0.8061237684104074,0.0,0.33228487922696837,2,6.0,0.0,3,0,1999.0,2,2.0,577.0,144.0,29.0,2009.0,12.225875272826354,0.008145153412942275,1.5,0.00615808892212916,300.2,2991.0
1,3,4.898979485566356,-2.4853002570892793,6,6.0,5.0,0.8414633293275834,0.8847295114859971,7,10,50.0,2,2,2,5,0.0,970.0,-0.20935046292540768,0,970.0,739.0,0.8007333942297281,0.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,0.0,3,3,2004.0,3,2.0,380.0,0.0,40.0,2006.0,11.77528972943772,0.00689016368018591,1.5,0.004583269465491436,341.8,2679.0
5,3,7.14142842854285,-0.5848450808963953,2,5.0,7.0,-2.168370334118359,0.21509953892477326,8,11,0.0,3,0,3,1,209.0,506.0,-1.0559785503616368,3,875.0,0.0,-1.4072201937469964,1.0,-1.1907886371539629,0.0,-1.2175125652925647,3,5.0,0.0,3,3,1931.0,3,1.0,180.0,48.0,0.0,2009.0,11.56171562913966,0.013213389290445327,2.0,0.009964934143435853,291.6666666666667,1590.0
8,2,0.0,0.35895329473254645,7,7.0,5.0,0.7177715349393939,0.6271795220393726,7,10,180.0,2,2,2,5,0.0,884.0,-0.4948799355509595,0,884.0,1151.0,1.6637943890503661,0.0,0.8061237684104074,1.0,0.33228487922696837,2,8.0,1.0,2,2,2001.0,0,2.0,434.0,144.0,48.0,2010.0,12.312682380588432,0.006050458172279328,1.5,0.00450101879848773,407.0,2919.0
